Designator,Footprint,Quantity,Value,LCSC Part #
"C0, C1",0603,2,100nF,C14663
"D0, D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D4, D5, D6, D7, D8, D9",D_SOD-123,35,D_Small,C81598
D35,D_SOD-323_HandSoldering,1,PMEG2010EA,C2837790
F0,0603,1,500mA,C210357
J0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C2765186
R0,0603,1,10k,C25804
"R1, R2",0603,2,5.1k,C23186
SW0,SW_Push_SPST_NO_Alps_SKRK,1,BOOT,C115357
U0,SOT-23-6,1,USBLC6-2SC6,C2687116
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,~,C111367
