Designator,Mid X,Mid Y,Rotation,Layer
C0,139.54125,-37.703125,180.0,bottom
C1,139.54125,-39.290625,0.0,bottom
D0,33.9725,-36.83,90.0,bottom
D1,53.0225,-36.83,90.0,bottom
D10,243.5225,-36.8925,90.0,bottom
D11,262.5725,-36.8925,90.0,bottom
D12,36.35375,-55.88,90.0,bottom
D13,57.785,-55.88,90.0,bottom
D14,76.835,-55.88,90.0,bottom
D15,95.885,-55.88,90.0,bottom
D16,117.31625,-58.26125,90.0,bottom
D17,168.91,-55.8175,90.0,bottom
D18,181.61,-55.88,90.0,bottom
D19,200.66,-55.88,90.0,bottom
D2,72.0725,-36.83,90.0,bottom
D20,219.71,-55.88,90.0,bottom
D21,238.76,-55.88,90.0,bottom
D22,260.19125,-55.88,90.0,bottom
D23,33.9725,-74.93,90.0,bottom
D24,53.0225,-74.93,90.0,bottom
D25,72.0725,-74.93,90.0,bottom
D26,91.1225,-74.93,90.0,bottom
D27,110.1725,-74.93,90.0,bottom
D28,122.2975,-67.86125,90.0,bottom
D29,152.24125,-65.801875,90.0,bottom
D3,91.1225,-36.83,90.0,bottom
D30,186.3725,-74.93,90.0,bottom
D31,205.4225,-74.93,90.0,bottom
D32,224.4725,-74.93,90.0,bottom
D33,243.5225,-74.93,90.0,bottom
D34,262.5725,-74.93,90.0,bottom
D35,139.640625,-35.639375,0.0,bottom
D4,110.1725,-36.83,90.0,bottom
D5,124.46,-36.83,90.0,bottom
D6,168.11625,-36.83,90.0,bottom
D7,186.3725,-36.83,90.0,bottom
D8,205.4225,-36.83,90.0,bottom
D9,224.4725,-36.83,90.0,bottom
F0,139.54125,-33.734375,180.0,bottom
J0,145.0975,-22.79875,180.0,bottom
R0,141.525625,-44.7675,180.0,bottom
R1,144.5,-30.25,270.0,bottom
R2,146.685,-30.25,270.0,bottom
SW0,139.938125,-47.9425,0.0,bottom
U0,144.941251,-37.17375,270.0,bottom
U1,133.985,-53.895625,0.0,bottom
